"STATION","NAME","DATE","TMAX","TMIN","TOBS"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-21","86","65","80"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-22","84","64","83"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-23","83","70","81"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-24","85","69","83"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-25","84","68","84"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-26","85","72","83"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-27","86","69","86"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-28","88","69","85"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-29","85","63","73"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-06-30","78","64","65"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-01","69","57","67"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-02","72","58","72"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-03","80","63","80"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-04","88","71","86"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-05","88","69","77"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-06","85","68","85"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-07","86","71","85"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-08","86","72","84"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-09","90","72","86"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-10","86","63","84"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-11","87","70","84"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-12","90","68","87"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-13","87","69","83"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-14","83","67","75"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-15","87","66","84"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-16","90","66","90"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-17","90","67","90"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-18","90","67","83"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-19","89","67","86"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-20","89","64","88"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-21","90","74","89"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-22","93","72","91"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-23","93","71","86"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-24","86","68","76"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-25","89","66","88"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-26","88","70","73"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-27","87","65","85"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-28","90","67","85"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-29","90","67","87"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-30","92","66","87"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-07-31","87","67","79"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-01","89","64","85"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-02","95","67","90"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-03","95","69","93"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-04","93","72","79"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-05","90","68","83"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-06","94","71","93"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-07","94","78","88"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-08","89","73","85"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-09","85","73","73"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-10","91","66","70"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-11","83","64","83"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-12","88","63","84"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-13","90","64","85"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-14","93","65","90"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-15","93","74","87"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-16","87","64","84"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-17","90","67","89"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-18","89","69","86"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-19","91","69","89"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-20","90","69","88"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-21","88","69","76"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-22","81","63","77"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-23","82","61","81"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-24","89","64","84"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-25","93","62","90"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-26","94","66","86"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-27","90","70","83"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-28","97","74","93"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-29","101","74","93"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-30","101","72","94"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-08-31","102","72","97"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-01","98","70","89"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-02","99","68","87"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-03","94","67","84"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-04","93","68","86"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-05","86","63","80"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-06","82","63","79"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-07","79","63","68"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-08","75","58","69"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-09","78","63","72"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-10","83","63","80"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-11","85","61","81"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-12","84","65","65"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-13","74","52","70"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-14","81","47","72"
"USC00032444","FAYETTEVILLE EXPERIMENTAL STATION, AR US","1951-09-15","79","52","68"
